number,confidence,errors
395,0.9512614660226839,0
385,0.9587967106160517,0
351,0.956192850509198,0
244,0.9584686743404544,0
390,0.9549403217623436,0
199,0.9540072949614413,0
387,0.9505522578628066,0
417,0.9506800791501984,0
273,0.9561918348472309,0
200,0.9594836361889174,0
212,0.9529111590190134,0
203,0.9524340442995012,0
168,0.9593191828552627,0
168,0.9574863380156347,0
305,0.9544284222889824,0
195,0.9500142668312658,0
281,0.9540167687642589,0
447,0.9501718031556419,0
181,0.951064240290646,0
361,0.9528951116956709,0
273,0.9527690555775638,0
327,0.9505951863945504,0
566,0.95098789345038,0
317,0.9570115735172693,0
395,0.9516875940276232,0
365,0.9570903805019224,0
206,0.9509987254358976,0
232,0.9545023080120782,0
566,0.9556071875182406,0
967,0.9582793590245187,0
453,0.9602202880606664,0
269,0.9518028743076277,0
116,0.9524386487299296,0
321,0.9516747563646922,0
259,0.9516362738224525,0
129,0.9528632068339243,0
193,0.9544816233211456,0
127,0.9545322591280401,0
122,0.9504524812825937,0
207,0.9596413061398191,0
253,0.953629906338064,0
384,0.9593575963640646,0
369,0.9525181211451019,0
294,0.950764777415554,0
357,0.955166842262826,0
286,0.9531040808798643,0
497,0.9559657517102157,0
306,0.9589301600991045,0
319,0.9511591735820749,0
275,0.9539527805034538,1
371,0.9543119405866822,1
163,0.9561945690531762,0
444,0.9514793101256389,0
335,0.9555111335457656,0
401,0.9595011012410469,0
513,0.9580631958528898,1
395,0.9550653837511893,0
299,0.952537964400167,0
245,0.9503433318836009,0
272,0.9536858336418406,0
303,0.953063749311454,1
209,0.9618761739229077,0
197,0.9595444629628014,0
227,0.9515242586328727,0
274,0.9515170265895305,0
318,0.9518295084564595,0
266,0.9525226925242829,0
363,0.953066259865713,0
232,0.9530284827561251,0
288,0.9533653060094172,0
520,0.9535397968798547,1
197,0.9506262497627458,0
373,0.9507599634624953,0
514,0.9534631408680695,0
404,0.9603344044086949,0
259,0.9521398607273881,0
412,0.9539782400125484,0
513,0.951666637883,0
306,0.9571897853889867,0
238,0.954016696135706,0
426,0.9522128983855411,0
237,0.9575123262117275,0
242,0.9529361946057492,0
315,0.9560537648920117,0
370,0.9574496821127336,0
325,0.9521281026090351,0
190,0.9505985778576231,0
252,0.9584099779639297,0
214,0.952054048162878,0
140,0.9537320181569201,0
284,0.955776822137408,0
355,0.9500893374988534,0
395,0.9552739193697637,0
255,0.9501698524205523,0
234,0.9558417938435487,0
395,0.9510482134621288,0
388,0.9504319379905721,1
244,0.9563325505628435,0
179,0.9509391666073685,0
350,0.9567525807785834,0
344,0.9510003514461353,0
279,0.9543483383199438,0
319,0.9516911097533594,0
139,0.9566835478543193,1
231,0.9560899614684424,0
237,0.9543446937751191,0
335,0.9563050992095654,0
259,0.9539251099001689,0
194,0.9571417736510373,0
661,0.9508242265686402,0
358,0.9530088711074285,0
242,0.9532137334067972,0
210,0.9532318495270027,0
562,0.9549872012571774,0
229,0.953109151467546,1
285,0.9537615471060742,0
241,0.9506536119736888,0
212,0.9506229958659608,0
429,0.9509200069848505,0
325,0.9561615150283262,0
198,0.9558674467929092,0
212,0.9571374986457751,0
396,0.951092417987205,0
459,0.9504444011744119,0
259,0.9521562735747064,0
464,0.9534065759853472,0
240,0.9568779055591489,0
388,0.9523037403237842,0
749,0.9524838201227246,0
226,0.9593391684395166,0
185,0.9589715098672206,1
262,0.954426704893235,0
267,0.9603008420829298,0
355,0.9505752607780701,0
217,0.9540533435311089,0
217,0.9576192558322008,0
390,0.95428668650602,0
295,0.959108997994433,0
513,0.9542377009413893,0
184,0.9567135094697865,0
188,0.9513823633449845,0
299,0.9504408250591674,0
251,0.9521844919801723,0
283,0.9509516842741097,0
268,0.9565236814230059,0
213,0.9513106766014208,0
156,0.953173016412422,0
364,0.9560229079341098,0
222,0.9526523644567512,0
442,0.9550407879343463,0
398,0.9530370920903715,0
264,0.9520392081227622,0
444,0.9569852252927079,0
518,0.9541012904893225,0
175,0.9527020974160971,0
211,0.9550873360170923,0
153,0.9552313374622593,0
269,0.9537373571675092,0
248,0.955852085336915,0
618,0.954390760838855,0
185,0.9558390663812907,0
