number,confidence,errors
42,0.9536484965240394,1
61,0.9564699122638533,0
65,0.951757136264205,0
64,0.9559037022504975,0
70,0.9641564832362516,0
48,0.9510765129786005,0
68,0.9549375881745237,0
79,0.9566105693283065,0
56,0.9569346233433151,0
49,0.9614619832457482,0
59,0.9639906961545637,0
29,0.9520153116911468,0
58,0.9648040055039943,0
84,0.9616623320289371,0
47,0.9706325765200281,0
74,0.9576959107383661,0
68,0.9527831414637993,0
92,0.9631946349126931,0
79,0.9701684380572972,0
76,0.9564665603798311,0
44,0.951556351822634,0
65,0.9605835008376571,0
87,0.967502966082262,0
51,0.9607242224160121,1
62,0.9718097614626677,0
37,0.955647401674752,0
78,0.9715019658734882,0
80,0.9893597061070882,0
47,0.9644574984829121,0
40,0.9682834625179801,0
48,0.9513879975030809,0
86,0.9615349337489254,0
74,0.9605175452153072,0
61,0.9585826210328506,0
50,0.9512840109977021,0
90,0.9506504283162488,0
93,0.9609260245836757,0
61,0.9593031095197319,0
49,0.9511526009907298,0
51,0.9541519947372044,0
65,0.9688482413522681,0
42,0.9526740437725035,0
89,0.9597320997156742,0
37,0.9530408199940705,0
89,0.9618712044892842,0
66,0.9628705356880705,0
58,0.9660961573606142,0
65,0.95486026580582,0
84,0.9627077716544203,0
71,0.9593377753828425,0
78,0.9515834708114435,0
67,0.9623261809046603,0
44,0.9627482095628659,0
63,0.9560563402096764,0
80,0.9569639018498067,0
59,0.9543585253260619,0
55,0.9609909898215416,0
65,0.9560569148180609,0
50,0.9530877239727273,0
61,0.952075894747264,0
64,0.9534950406224584,0
76,0.9658222169745442,0
37,0.9584063768300055,0
56,0.9612568213347893,0
84,0.9759870646937133,0
61,0.9578332184970947,0
41,0.9602569115368652,0
87,0.9646945415903116,0
44,0.9637087710323207,0
52,0.9551972694744467,0
56,0.962302162891496,1
50,0.9502363589724798,1
39,0.9626708329075901,0
41,0.9539204034240073,0
38,0.9583231513885183,0
62,0.9508965295075273,0
82,0.9529171250887584,0
42,0.9557773275950597,0
51,0.9592097406126366,0
61,0.9552880128803338,0
59,0.9512303613824467,0
55,0.9634648373005834,0
36,0.9591198573506987,0
94,0.9836650264600002,0
41,0.9504561664250207,0
71,0.9599410021680785,0
67,0.9511942056043334,0
97,0.9633994147816511,0
67,0.9632547440149534,0
58,0.9560358028503588,0
57,0.9688023296430317,0
52,0.9564284888428347,0
57,0.9512116548799707,0
71,0.9553128932929906,0
72,0.9638829682043786,0
66,0.9675157246185977,0
83,0.9539313399921001,0
53,0.9526663285728227,0
65,0.9527069966725638,0
63,0.9513105423315611,0
54,0.9547374713360642,0
61,0.9631314423669813,0
69,0.9509145255222489,0
41,0.9609297208527701,0
74,0.9572204143036087,0
79,0.9586331844311164,0
77,0.9828584236154502,0
61,0.9578398858431405,0
63,0.9592326941210461,0
46,0.9564355275437648,0
67,0.9634864100115643,0
53,0.9687419020785103,0
50,0.9599258302018943,0
76,0.9619109373382676,0
47,0.9631693264256811,0
77,0.9551917830677906,0
51,0.9556682703391355,0
53,0.9510858518913334,0
51,0.9617050125258642,0
64,0.9573395014070458,0
60,0.9563468204003678,0
44,0.9616868160694794,0
45,0.9516039867219106,0
74,0.9571344657976397,0
63,0.9707836970161172,0
33,0.95473102830894,0
64,0.9637100812187597,0
48,0.9665590027498576,0
56,0.9588578490544348,0
63,0.9505549761148527,0
66,0.9515146401147582,0
71,0.9633594395052614,0
46,0.9606546501825122,0
110,0.9500414754471417,0
60,0.9626539997326667,0
59,0.9523382304864627,0
58,0.9633920992737307,0
61,0.9608681834288393,0
62,0.9588093272155274,1
45,0.9589202613544108,0
54,0.973780764393453,0
96,0.9576630685875087,0
55,0.9596583571742441,0
67,0.96232967472088,0
41,0.965971745447787,0
80,0.9634848314206995,0
41,0.9540872216816164,0
79,0.9558337692179222,0
89,0.9641523420952891,0
62,0.9768225965157658,0
53,0.9552922612937098,0
91,0.9716224155694858,0
89,0.9533243041096443,0
53,0.9551520561589308,1
42,0.9638663303350696,0
55,0.9576573229233551,0
44,0.9636952916026986,0
69,0.9579728186807119,0
41,0.9541260727642298,1
57,0.9502327945094378,0
53,0.9585943010884951,0
70,0.9639606370829313,0
75,0.9660224421008919,0
57,0.9616035496671799,0
74,0.9594712556845506,1
75,0.9586817551681972,0
61,0.9605086100708065,0
66,0.9660230279911649,0
67,0.9547026466258528,0
49,0.9567566019368099,0
40,0.9543605708685423,1
35,0.9537396191316212,0
51,0.9523212757119734,0
66,0.950592447764781,0
72,0.9521608565086827,0
54,0.9514227299649095,0
54,0.9624097537523717,0
60,0.9674798423681621,0
89,0.9577527561882019,0
86,0.9559819342155049,0
35,0.9529363047905075,0
47,0.9535027213270417,0
84,0.9650672478986317,0
40,0.9610510439503503,1
59,0.9574901798195958,0
64,0.9574755092040371,0
39,0.9598226401214133,0
68,0.9550162841453804,0
61,0.9518964443618527,0
58,0.9578228304820875,0
65,0.9582742852230381,0
42,0.9576214460321889,1
42,0.9585279029368479,0
77,0.9618157986665887,0
79,0.9646606951711807,0
54,0.9639403303663445,0
48,0.9651735101583094,0
72,0.9556960085571065,1
89,0.9544546867891504,0
87,0.9510980899300748,0
43,0.9586120429901817,0
57,0.966441314071256,0
68,0.965051415023224,0
51,0.9647722901994678,1
43,0.9646953668005176,0
76,0.9715897897560866,0
57,0.9570713677017083,0
66,0.9604004536762132,0
48,0.9626356445716724,0
66,0.9567804036025118,0
77,0.9542707524957899,0
49,0.9693828543172336,0
58,0.9555200329948256,0
90,0.950122159395006,0
54,0.9546075391469178,0
44,0.9721549664073692,0
64,0.9702242384333223,0
86,0.9600692071728741,0
85,0.9567183122673646,0
26,0.9578707686165641,0
89,0.961147321778102,0
36,0.9593363961964896,0
81,0.9604820502467873,0
95,0.9619122665265228,0
36,0.9620449922584167,0
59,0.9603328620945026,0
55,0.9640805417611754,0
27,0.9527246957223972,1
45,0.9556922411798525,0
58,0.9533285382410263,0
62,0.9594986009458806,1
