number,confidence,errors
51.0,0.9664706725942924,0.0
63.0,0.9546037172071099,0.0
54.0,0.9531019710471794,0.0
53.0,0.9602064007954124,0.0
97.0,0.969267074709904,0.0
47.0,0.9598403073210997,0.0
45.0,0.9527707091245201,0.0
65.0,0.9780514799027471,0.0
76.0,0.9608829626704649,0.0
54.0,0.962542086154191,0.0
60.0,0.9520180156267446,0.0
39.0,0.9582336263227126,0.0
36.0,0.9547300316853757,0.0
54.0,0.9517552023228977,0.0
26.0,0.9519002654350972,1.0
39.0,0.961471303077867,0.0
41.0,0.9630710117633992,0.0
40.0,0.9601364064426938,0.0
46.0,0.9610212607373018,0.0
74.0,0.9587927228843627,0.0
55.0,0.951655316949605,0.0
39.0,0.9539330607121268,1.0
55.0,0.9692254578559689,0.0
51.0,0.9506314614306766,0.0
42.0,0.9605222807861631,0.0
56.0,0.9646274217763402,0.0
56.0,0.9516575081886958,0.0
63.0,0.9508378342051022,0.0
73.0,0.9521635648432369,0.0
50.0,0.9636666750022923,0.0
67.0,0.9623382732040064,0.0
69.0,0.9536726731536623,0.0
55.0,0.9514235669348254,1.0
76.0,0.9672247411713227,0.0
45.0,0.9638098919628633,0.0
61.0,0.9830724124578193,0.0
70.0,0.9679930257176661,0.0
55.0,0.9588129328445207,0.0
47.0,0.9502867542056519,0.0
59.0,0.9694929917196178,0.0
39.0,0.9511906451781087,0.0
49.0,0.9501074633645437,1.0
73.0,0.9621115187274436,0.0
61.0,0.9716896966432602,0.0
45.0,0.9622200060556398,0.0
41.0,0.9621393876805764,0.0
35.0,0.9502928260304108,0.0
58.0,0.9688411137544961,0.0
37.0,0.9518711547608838,0.0
57.0,0.9731838435683858,0.0
63.0,0.9592050309503164,0.0
59.0,0.9564082296375096,0.0
47.0,0.9587337154611847,0.0
29.0,0.9526665749222131,0.0
87.0,0.9663798046711853,0.0
65.0,0.9589214183438151,0.0
49.0,0.9515766446195342,0.0
67.0,0.9507247803509464,0.0
50.0,0.9620823377335577,0.0
59.0,0.9544946576460952,0.0
54.0,0.9530003088037847,0.0
56.0,0.9509200286611598,0.0
70.0,0.9645986568254161,0.0
33.0,0.9645915088112125,0.0
98.0,0.951267697627952,0.0
52.0,0.9762190135053255,0.0
83.0,0.9533980840300283,0.0
54.0,0.9513502358451535,0.0
44.0,0.9527395047449613,0.0
58.0,0.9531468774127506,0.0
41.0,0.9636048695233163,0.0
52.0,0.958615917005598,0.0
29.0,0.9660491118882227,0.0
49.0,0.9577095931855035,0.0
56.0,0.9569213514270025,0.0
66.0,0.951268777974425,0.0
46.0,0.96980128368872,0.0
51.0,0.9597255082653705,0.0
45.0,0.9597562064065229,0.0
50.0,0.9541332492195506,0.0
48.0,0.9531731482122985,0.0
88.0,0.9709337486544485,0.0
41.0,0.9578642239350041,0.0
60.0,0.9558631677384347,0.0
79.0,0.9622920517560074,0.0
45.0,0.9519351640786649,0.0
27.0,0.9522086607860482,0.0
49.0,0.9555471981389733,0.0
53.0,0.9514060447395964,0.0
29.0,0.952105128081334,0.0
62.0,0.9581196036575652,0.0
60.0,0.9599035953356643,0.0
32.0,0.958652861284961,0.0
52.0,0.9606497288846791,0.0
72.0,0.9541241872952082,1.0
35.0,0.962306101467417,0.0
66.0,0.963077164355717,0.0
42.0,0.9606151118055903,0.0
55.0,0.9738577694115095,0.0
73.0,0.9625672162443026,0.0
44.0,0.9502020982940445,0.0
54.0,0.9660715043275767,0.0
63.0,0.9510043203042472,0.0
48.0,0.9547071833830175,0.0
53.0,0.966301239730572,0.0
42.0,0.9609488695850354,0.0
46.0,0.9524254242484883,0.0
94.0,0.9697392344052739,0.0
60.0,0.9645103316802424,0.0
