number,confidence,errors
31.0,0.9523940957088269,0.0
33.0,0.9603825176842108,0.0
54.0,0.9519826696261824,0.0
39.0,0.9536035995544023,0.0
36.0,0.9556982934212712,0.0
41.0,0.951426335334587,0.0
38.0,0.9543427990104651,0.0
47.0,0.9641112527706436,0.0
32.0,0.9609322846578466,0.0
47.0,0.9501812646391599,0.0
27.0,0.9548427888452746,0.0
38.0,0.951229307918614,0.0
54.0,0.9525080593074813,0.0
33.0,0.9533958677832572,0.0
40.0,0.9661826912174197,0.0
38.0,0.9630773448613514,0.0
35.0,0.9587452375426119,0.0
29.0,0.9533533370133059,0.0
37.0,0.950053689346865,0.0
33.0,0.9518158225908558,0.0
44.0,0.958420668361999,0.0
39.0,0.9642372686086432,0.0
31.0,0.953534830748252,0.0
36.0,0.9577681350240048,0.0
21.0,0.9518212665623021,0.0
25.0,0.9545921145653717,0.0
23.0,0.9500446453577064,0.0
46.0,0.9555412875393899,0.0
43.0,0.9505360219948742,0.0
34.0,0.9564486596939454,0.0
60.0,0.9514094916889777,0.0
32.0,0.9536766028909018,0.0
42.0,0.9572739852392325,0.0
39.0,0.9513457237630929,0.0
31.0,0.9504857131979874,0.0
37.0,0.9593724055531953,0.0
43.0,0.954305229871613,0.0
25.0,0.9602651541034203,0.0
36.0,0.9554255131288473,0.0
41.0,0.9547134393459451,0.0
30.0,0.9634505778128093,0.0
46.0,0.9563937956131787,0.0
52.0,0.9503570152021794,0.0
54.0,0.9593827945890425,0.0
50.0,0.9612437278296344,0.0
54.0,0.95952365318614,0.0
49.0,0.953006223137283,0.0
46.0,0.9548259182258764,0.0
41.0,0.9619771043084109,0.0
56.0,0.9579410872121494,0.0
32.0,0.9514511219498072,0.0
42.0,0.9565909723638976,0.0
36.0,0.95759675375402,0.0
27.0,0.962587369518652,0.0
44.0,0.9553237578881949,0.0
42.0,0.9504180431298458,0.0
39.0,0.9550549288828064,0.0
40.0,0.9644698180830584,0.0
62.0,0.9531775945485377,0.0
34.0,0.966860545796881,0.0
41.0,0.9586865858996279,0.0
53.0,0.9527934427109781,0.0
53.0,0.964102323946019,0.0
39.0,0.9524627530720715,0.0
36.0,0.9561328767834891,0.0
61.0,0.9567210290128535,0.0
35.0,0.9582755793000977,0.0
33.0,0.9582975842142037,0.0
39.0,0.958207859849509,0.0
31.0,0.9635581034992197,0.0
33.0,0.9577254516913041,0.0
35.0,0.9593053634511368,0.0
34.0,0.9571376780530747,0.0
40.0,0.96510212483515,0.0
41.0,0.958736552181206,0.0
49.0,0.9572212552712829,0.0
51.0,0.9520702399668002,0.0
33.0,0.9542822627806868,0.0
37.0,0.9526161208451414,0.0
47.0,0.9560567544750173,0.0
32.0,0.9532650917210691,0.0
32.0,0.9535316263896156,0.0
44.0,0.9645780783033657,0.0
34.0,0.9582719098647843,0.0
47.0,0.961897323591014,0.0
37.0,0.9612694076303469,0.0
41.0,0.952305165392799,0.0
40.0,0.9559960155144106,0.0
36.0,0.9523129462200925,0.0
39.0,0.9553484023488741,0.0
59.0,0.9650821124957946,0.0
41.0,0.9593124263409663,0.0
47.0,0.9506798115559945,0.0
35.0,0.9562604208243803,0.0
31.0,0.9557013391499587,0.0
50.0,0.963256511787608,0.0
30.0,0.958995098835715,0.0
43.0,0.9534805713257135,0.0
32.0,0.9600464675431988,0.0
44.0,0.9511271543374316,0.0
29.0,0.9511231323177998,0.0
55.0,0.9557231577059395,0.0
40.0,0.9551083680811154,0.0
